category_label,Multi_model_info,DBMS,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Jan-2026,Rank_Jan-2026,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Columnar,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,NoSQL,Object oriented,RDF,Relational,Search engine,Spatial,Time Series,Vector,Wide column
Wide column,"Wide column store,Vector DBMS",Apache Cassandra,https://db-engines.com/en/system/Apache+Cassandra,,,,100.84,11,,,Apache Software Foundation,2008,2024,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Relational,Relational DBMS,SQLite,https://db-engines.com/en/system/SQLite,Y,N,sqlite/sqlite,100.61,12,sqlite,sqlite,Dwayne Richard Hipp,2000,2024,Y,Public Domain,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",MariaDB,https://db-engines.com/en/system/MariaDB,Y,Y_借壳上市,MariaDB/server,87.72,13,MariaDB,server,MariaDB plc (MariaDB Enterprise Platform and MariaDB),2009,2024,Y,"GPL version 2, commercial enterprise subscription available",N,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Search engine,Search engine,Splunk,https://db-engines.com/en/system/Splunk,N,,-,75.31,14,-,-,Splunk Inc.,2003,,N,Limited free edition and free developer edition available,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft Azure SQL Database,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,N,,-,74.19,15,-,-,Microsoft,2010,,N,,Y,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Relational,Relational DBMS,Apache Hive,https://db-engines.com/en/system/Apache+Hive,,,,73.48,16,,,Apache Software Foundation,2012,2022,Y,Apache Version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Relational,Relational DBMS,Microsoft Access,https://db-engines.com/en/system/Microsoft+Access,N,Y,-,71.65,17,-,-,Microsoft,1992,2019,N,Bundled with Microsoft Office,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Document,"Document store,Key-value store",Amazon DynamoDB,https://db-engines.com/en/system/Amazon+DynamoDB,N,,-,69.79,18,-,-,Amazon,2012,,N,free tier for a limited amount of database operations,Y,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,Google BigQuery,https://db-engines.com/en/system/Google+BigQuery,N_api_googleapis/python-bigquery,Y,-,63.6,19,-,-,Google,2010,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Graph,Graph DBMS,Neo4j,https://db-engines.com/en/system/Neo4j,Y,Y,neo4j/neo4j,50.15,20,neo4j,neo4j,"Neo4j, Inc.",2007,2024,Y,"GPL version3, commercial licenses available",N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Search engine,"Search engine,Spatial DBMS",Apache Solr,https://db-engines.com/en/system/Apache+Solr,,,,34.11,21,,,Apache Software Foundation,2006,2024,Y,Apache Version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Teradata,https://db-engines.com/en/system/Teradata,N,,-,33.69,22,-,-,Teradata,1984,2019,N,,N,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",SAP HANA,https://db-engines.com/en/system/SAP+HANA,N,,-,32.47,23,-,-,SAP,2010,2023,N,,N,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Relational,Relational DBMS,FileMaker,https://db-engines.com/en/system/FileMaker,N,,-,31.22,24,-,-,Claris,1983,2021,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Relational,"Relational DBMS,Spatial DBMS",SAP Adaptive Server,https://db-engines.com/en/system/SAP+Adaptive+Server,N,,-,26.78,25,-,-,"SAP, Sybase",1987,,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Document,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",Microsoft Azure Cosmos DB,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,N,,-,24.8,26,-,-,Microsoft,2014,,N,,Y,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
Spatial,"Spatial DBMS,Relational DBMS",PostGIS,https://db-engines.com/en/system/PostGIS,Y,,postgis/postgis,22.86,27,postgis,postgis,,2005,2024,Y,GPL v2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Relational,Relational DBMS,Apache Spark (SQL),https://db-engines.com/en/system/Apache+Spark+%28SQL%29,,,,22.67,28,,,Apache Software Foundation,2014,2023,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Time Series,"Time Series DBMS,Spatial DBMS",InfluxDB,https://db-engines.com/en/system/InfluxDB,Y,,influxdata/influxdb,21.92,29,influxdata,influxdb,,2013,2024,Y,MIT-License; commercial enterprise version available,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Relational,"Relational DBMS,Document Stores,Spatial DBMS,Time Series DBMS,Vector DBMS",ClickHouse,https://db-engines.com/en/system/ClickHouse,Y,Y_新成立,ClickHouse/ClickHouse,21.77,30,ClickHouse,ClickHouse,Clickhouse Inc.,2016,2025,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
Search engine,"Search engine,Vector DBMS,Vector DBMS",OpenSearch,https://db-engines.com/en/system/OpenSearch,Y,Y,opensearch-project/OpenSearch,19.9,31,opensearch-project,OpenSearch,The OpenSearch Software Foundation,2021,2025,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Wide column,Wide column store,Apache HBase,https://db-engines.com/en/system/Apache+HBase,,,,18.95,32,,,Apache Software Foundation,2008,2021,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Relational,Relational DBMS,Firebird,https://db-engines.com/en/system/Firebird,Y,N,FirebirdSQL/firebird,16.58,33,FirebirdSQL,firebird,Firebird Foundation,2000,2024,Y,Initial Developer's Public License,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Relational,Relational DBMS,Microsoft Azure Synapse Analytics,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,N,,-,15.41,34,-,-,Microsoft,2016,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Key-value,Key-value store,Memcached,https://db-engines.com/en/system/Memcached,Y,,memcached/memcached,14.79,35,memcached,memcached,Danga Interactive,2003,2024,Y,BSD license,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Document,Document store,Firebase Realtime Database,https://db-engines.com/en/system/Firebase+Realtime+Database,N,,-,14.65,36,-,-,Google,2012,,N,,Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,Amazon Redshift,https://db-engines.com/en/system/Amazon+Redshift,N,,-,14.58,37,-,-,"Amazon (based on,PostgreSQL,)",2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Relational,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS",Informix,https://db-engines.com/en/system/Informix,N,Y,-,14.22,38,-,-,"IBM, HCL Technologies",1984,2020,N,free developer edition available,N,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Relational,"Relational DBMS,Document store",Apache Impala,https://db-engines.com/en/system/Apache+Impala,,,,13.94,39,,,Apache Software Foundation,2013,2022,Y,Apache Version 2,N,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Relational,Relational DBMS,Apache Flink,https://db-engines.com/en/system/Apache+Flink,Y,,apache/flink,11.65,40,apache,flink,Apache Software Foundation and contributors,,2024,Y,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Document,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store",Couchbase,https://db-engines.com/en/system/Couchbase,Y,Y,couchbase/couchbase-lite-core,11.62,41,couchbase,couchbase-lite-core,"Couchbase, Inc.",2011,2024,Y,Business Source License (BSL 1.1); Commercial licenses also available,N,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
Relational,Relational DBMS,DuckDB,https://db-engines.com/en/system/DuckDB,Y,,duckdb/duckdb,9.78,42,duckdb,duckdb,,2018,2024,Y,MIT License,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Document,Document store,Google Cloud Firestore,https://db-engines.com/en/system/Google+Cloud+Firestore,N,,-,9.43,43,-,-,Google,2017,,N,,Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Relational,"Relational DBMS,Spatial DBMS,Time Series DBMS",Vertica,https://db-engines.com/en/system/Vertica,N,Y,-,9.14,44,-,-,OpenText,2005,2023,N,Limited community edition free,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Relational,"Relational DBMS,Document store,Spatial DBMS,Vector DBMS",Amazon Aurora,https://db-engines.com/en/system/Amazon+Aurora,N,,-,9.1,45,-,-,Amazon,2015,2024,N,,Y,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Time Series,Time Series DBMS,Prometheus,https://db-engines.com/en/system/Prometheus,Y,N,prometheus/prometheus,8.2,46,prometheus,prometheus,,2015,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Vector,Vector DBMS,Pinecone,https://db-engines.com/en/system/Pinecone,N,Y,-,8.08,47,-,-,"Pinecone Systems, Inc",2019,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Relational,Relational DBMS,dBASE,https://db-engines.com/en/system/dBASE,N,,-,8.01,48,-,-,Asthon Tate,1979,2019,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Time Series,"Time Series DBMS,Vector DBMS,Relational DBMS",Kdb,https://db-engines.com/en/system/Kdb,Y,,KxSystems/kdb,7.73,49,KxSystems,kdb,"Kx Systems, a division of First Derivatives plc",2000,2018,N,free 32-bit version,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Key-value,Key-value store,etcd,https://db-engines.com/en/system/etcd,Y,,etcd-io/etcd,7.62,50,etcd-io,etcd,,,2019,Y,Apache Version 2.0,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Relational,"Relational DBMS,Spatial DBMS",H2,https://db-engines.com/en/system/H2,Y,N,h2database/h2database,7.53,51,h2database,h2database,Thomas Mueller,2005,2023,Y,"dual-licence (Mozilla public license, Eclipse public license)",N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Relational,Relational DBMS,Microsoft Fabric,https://db-engines.com/en/system/Microsoft+Fabric,,,,7.22,52,,,Microsoft,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Relational,Relational DBMS,Netezza,https://db-engines.com/en/system/Netezza,N,,-,7.09,53,-,-,IBM,2000,,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Relational,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",Trino,https://db-engines.com/en/system/Trino,Y,,trinodb/trino,6.99,54,trinodb,trino,Trino Software Foundation,2012,,Y,Apache Version 2.0,N,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1
Search engine,Search engine,Algolia,https://db-engines.com/en/system/Algolia,N,,-,6.98,55,-,-,,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Document,Document store,Realm,https://db-engines.com/en/system/Realm,Y,,realm/realm-core,6.84,56,realm,realm-core,"Realm, acquired by MongoDB in May 2019",2014,,Y,,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Relational,"Relational DBMS,Document store,Spatial DBMS",Greenplum,https://db-engines.com/en/system/Greenplum,Y,Y,greenplum-db/gpdb-archive,6.8,57,greenplum-db,gpdb-archive,Pivotal Software Inc.,2005,2023,N,Apache 2.0,N,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Search engine,"Search engine,Vector DBMS",Microsoft Azure AI Search,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,N,,-,6.54,58,-,-,Microsoft,2015,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Relational,Relational DBMS,Presto,https://db-engines.com/en/system/Presto,Y,N_Facebook开源,prestodb/presto,6.15,59,prestodb,presto,Facebook; Presto Foundation,2013,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Document,"Document store,Spatial DBMS",CouchDB,https://db-engines.com/en/system/CouchDB,Y,N,apache/couchdb,6.08,60,apache,couchdb,Apache Software Foundation,2005,2023,Y,Apache version 2,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Search engine,Search engine,Sphinx,https://db-engines.com/en/system/Sphinx,Y,Y,sphinxsearch/sphinx,5.85,61,sphinxsearch,sphinx,Sphinx Technologies Inc.,2001,2023,Y,"GPL version 2, commercial licence available",N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Vector,Vector DBMS,Milvus,https://db-engines.com/en/system/Milvus,Y,,milvus-io/milvus,5.54,62,milvus-io,milvus,,2019,2024,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Time Series,"Time Series DBMS,Relational DBMS",TimescaleDB,https://db-engines.com/en/system/TimescaleDB,Y,,timescale/timescaledb,5.39,63,timescale,timescaledb,Timescale,2017,2024,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Key-value,"Key-value store,Document store",Hazelcast,https://db-engines.com/en/system/Hazelcast,Y,,hazelcast/hazelcast,5.32,64,hazelcast,hazelcast,Hazelcast,2008,2023,Y,Apache Version 2; commercial licenses available,N,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,Oracle Essbase,https://db-engines.com/en/system/Oracle+Essbase,N,,-,4.81,65,-,-,Oracle,1998,2020,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Vector,Vector DBMS,Qdrant,https://db-engines.com/en/system/Qdrant,Y,,qdrant/qdrant,4.74,66,qdrant,qdrant,Qdrant,2021,,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Time Series,Time Series DBMS,Graphite,https://db-engines.com/en/system/Graphite,Y,,graphite-project/graphite-web,4.66,67,graphite-project,graphite-web,Chris Davis,2006,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Vector,Vector DBMS,Weaviate,https://db-engines.com/en/system/Weaviate,Y,,semi-technologies/weaviate,4.61,68,semi-technologies,weaviate,Weaviate B.V.,2019,2023,Y,commercial license available with Weaviate Enterprise,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Relational,"Multi-Model DBMS,Relational DBMS,CockroachDB supports relational,semi-structured JSON/document,vector/embedding,geospatial,and typed categorical/enumeration data,all exposed via SQL,on the same strongly consistent,globally distributed data platform.",CockroachDB,https://db-engines.com/en/system/CockroachDB,Y,Y,cockroachdb/cockroach,4.54,69,cockroachdb,cockroach,Cockroach Labs,2015,2026,"source-available, commercially license",,"no: cloud, prem, and hybrid",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Wide column,"Wide column store,Key-value store",ScyllaDB,https://db-engines.com/en/system/ScyllaDB,Y,,scylladb/scylla,4.29,70,scylladb,scylla,ScyllaDB,2015,2024,Y,"Open Source (AGPL), commercial license available",N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Document,"Document store,Native XML DBMS,RDF store,Search engine,Vector DBMS",MarkLogic,https://db-engines.com/en/system/MarkLogic,N,,-,4.26,71,-,-,MarkLogic Corp.,2001,2022,N,restricted free version is available,N,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
Relational,"Relational DBMS,Vector DBMS",TiDB,https://db-engines.com/en/system/TiDB,Y,Y,pingcap/tidb,3.87,72,pingcap,tidb,"PingCAP, Inc.",2016,2024,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Document,"Document store,Graph DBMS,Key-value store,Spatial DBMS",Aerospike,https://db-engines.com/en/system/Aerospike,Y,,aerospike/aerospike-server,3.77,73,aerospike,aerospike-server,Aerospike,2012,2025,"open source, commercial",Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,N,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Content,Content stores,Apache Jackrabbit,https://db-engines.com/en/system/Apache+Jackrabbit,,,,3.64,74,,,Apache Software Foundation,2006,2022,Y,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Relational,"Relational DBMS,Time Series DBMS",Apache Druid,https://db-engines.com/en/system/Apache+Druid,Y,N,apache/druid,3.63,75,apache,druid,Apache Software Foundation and contributors,2012,2025,Y,Apache license v2,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Relational,Relational DBMS,OpenEdge,https://db-engines.com/en/system/OpenEdge,N,,-,3.62,76,-,-,Progress Software Corporation,1984,2020,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Time Series,"Time Series DBMS,Vector DBMS,Relational DBMS",DolphinDB,https://db-engines.com/en/system/DolphinDB,N,,-,3.61,77,-,-,"DolphinDB, Inc",2018,2022,N,free community version available,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Relational,Relational DBMS,SAP SQL Anywhere,https://db-engines.com/en/system/SAP+SQL+Anywhere,N,,-,3.6,78,-,-,SAP,1992,2015,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Time Series,"Time Series DBMS,Relational DBMS",QuestDB,https://db-engines.com/en/system/QuestDB,Y,,questdb/questdb,3.57,79,questdb,questdb,QuestDB Technology Inc,2014,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Key-value,Key-value store,RocksDB,https://db-engines.com/en/system/RocksDB,Y,Y,facebook/rocksdb,3.57,80,facebook,rocksdb,"Facebook, Inc.",2013,2024,Y,BSD,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,Interbase,https://db-engines.com/en/system/Interbase,N,,-,3.49,81,-,-,Embarcadero,1984,2019,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Document,Document store,Google Cloud Datastore,https://db-engines.com/en/system/Google+Cloud+Datastore,N,,-,3.48,82,-,-,Google,2008,,N,,Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,Ingres,https://db-engines.com/en/system/Ingres,Y,,fosslc/Ingres,3.41,83,fosslc,Ingres,Actian Corporation,1974,2024,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Document,"Document store,Graph DBMS,Key-value store,Search engine",ArangoDB,https://db-engines.com/en/system/ArangoDB,Y,Y,arangodb/arangodb,3.31,84,arangodb,arangodb,ArangoDB Inc.,2012,2023,Y,Apache Version 2; Commercial license (Enterprise) available,N,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Wide column,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS",Datastax Enterprise,https://db-engines.com/en/system/Datastax+Enterprise,N,,-,3.28,85,-,-,DataStax,2011,2020,N,,N,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1
Key-value,Key-value store,Riak KV,https://db-engines.com/en/system/Riak+KV,Y,,basho/riak_kv,3.23,86,basho,riak_kv,"OpenSource, formerly Basho Technologies",2009,2022,Y,"Apache version 2, commercial enterprise edition",N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,Apache Derby,https://db-engines.com/en/system/Apache+Derby,,,,3.16,87,,,Apache Software Foundation,1997,2023,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Relational,"Relational DBMS,Document store,Event Store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS",Microsoft Azure Data Explorer,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,N,,-,3.06,88,-,-,Microsoft,2019,,N,,Y,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0
Multivalue,Multivalue DBMS,Adabas,https://db-engines.com/en/system/Adabas,Y,,jrmarino/AdaBase,3.0,89,jrmarino,AdaBase,Software AG,1971,,N,,N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Key-value,Key-value store,Ehcache,https://db-engines.com/en/system/Ehcache,Y,Y,ehcache/ehcache3,2.96,90,ehcache,ehcache3,"Terracotta Inc, owned by Software AG",2009,2022,Y,Apache Version 2; commercial licenses available,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Document,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",Virtuoso,https://db-engines.com/en/system/Virtuoso,Y,,openlink/virtuoso-opensource,2.93,91,openlink,virtuoso-opensource,OpenLink Software,1998,2023,Y,"GPLv2, extended commercial license available",N,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0
Document,"Document store,Key-value store,Relational DBMS",Oracle NoSQL,https://db-engines.com/en/system/Oracle+NoSQL,Y,N,oracle/nosql-go-sdk,2.93,92,oracle,nosql-go-sdk,Oracle,2011,2025,Y,"Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",N,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Key-value,"Key-value store,Relational DBMS",Apache Ignite,https://db-engines.com/en/system/Apache+Ignite,,,,2.89,93,,,Apache Software Foundation,2015,2023,Y,Apache 2.0,N,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Relational,Relational DBMS,Google Cloud Spanner,https://db-engines.com/en/system/Google+Cloud+Spanner,N,,-,2.81,94,-,-,Google,2017,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Wide column,Wide column store,Microsoft Azure Table Storage,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,N,,-,2.78,95,-,-,Microsoft,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Relational,Relational DBMS,Alibaba Cloud PolarDB,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,,,,2.77,96,,,Alibaba,,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Relational,Relational DBMS,HyperSQL,https://db-engines.com/en/system/HyperSQL,Y,N,ryenus/hsqldb,2.72,97,ryenus,hsqldb,,2001,2023,Y,based on BSD license,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Key-value,"Key-value store,Document store",GemFire,https://db-engines.com/en/system/GemFire,N,Y,-,2.71,98,-,-,VMware,2004,2022,N,,N,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Search engine,Search engine,Coveo,https://db-engines.com/en/system/Coveo,N,,-,2.65,99,-,-,Coveo,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
