Name,Description,Primary database model,Secondary database models,DB-Engines Ranking Trend Chart,Website,Technical documentation,Developer,Initial release,Current release,License,License_info,Cloud-based only,DBaaS offerings (sponsored links),Implementation language,Server operating systems,Data scheme,Typing,XML support,Secondary indexes,SQL,APIs and other access methods,Supported programming languages,Server-side scripts,Triggers,Partitioning methods,Replication methods,MapReduce,Consistency concepts,Foreign keys,Transaction concepts,Concurrency,Durability,In-memory capabilities,User concepts
Oracle,"Widely used,RDBMS",Relational DBMS,"Document store,Graph DBMS,RDF store,Spatial DBMS","Score,1247.52,Rank,#1,Overall,#1,Relational DBMS",www.oracle.com/database,docs.oracle.com/en/database,Oracle,1980.0,"21c, January 2021",commercial,restricted free version is available,no,,C and C++,"AIX,HP-UX,Linux,OS X,Solaris,Windows,z/OS",yes,yes,yes,yes,yes,"JDBC,ODBC,ODP.NET,Oracle Call Interface (OCI)","C,C#,C++,Clojure,Cobol,Delphi,Eiffel,Erlang,Fortran,Groovy,Haskell,Java,JavaScript,Lisp,Objective C,OCaml,Perl,PHP,Python,R,Ruby,Scala,Tcl,Visual Basic",PL/SQL,yes,"Sharding, horizontal partitioning","Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
MySQL,"Widely used open source,RDBMS",Relational DBMS,"Document store,Spatial DBMS","Score,1195.45,Rank,#2,Overall,#2,Relational DBMS",www.mysql.com,dev.mysql.com/doc,Oracle,1995.0,"8.0.32, January 2023",Open Source,GPL version 2. Commercial licenses with extended functionallity are available,no,"ScaleGrid for MySQL,: Fully managed MySQL hosting On-Premises and on a wide variety of cloud providers. Easily deploy, monitor, provision, and scale your deployments in the cloud.",C and C++,"FreeBSD,Linux,OS X,Solaris,Windows",yes,yes,yes,yes,yes,"ADO.NET,JDBC,ODBC,Proprietary native API","Ada,C,C#,C++,D,Delphi,Eiffel,Erlang,Haskell,Java,JavaScript (Node.js),Objective-C,OCaml,Perl,PHP,Python,Ruby,Scheme,Tcl",yes,yes,"horizontal partitioning, sharding with MySQL Cluster or MySQL Fabric","Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,yes,Users with fine-grained authorization concept
Microsoft SQL Server,Microsofts flagship relational DBMS,Relational DBMS,"Document store,Graph DBMS,Spatial DBMS","Score,929.09,Rank,#3,Overall,#3,Relational DBMS",www.microsoft.com/en-us/sql-server,docs.microsoft.com/en-US/sql/sql-server,Microsoft,1989.0,"SQL Server 2022, November 2022",commercial,restricted free version is available,no,,C++,"Linux,Windows",yes,yes,yes,yes,yes,"ADO.NET,JDBC,ODBC,OLE DB,Tabular Data Stream (TDS)","C#,C++,Delphi,Go,Java,JavaScript (Node.js),PHP,Python,R,Ruby,Visual Basic","Transact SQL, .NET languages, R, Python and (with SQL Server 2019) Java",yes,tables can be distributed across several files (horizontal partitioning); sharding through federation,"yes, but depending on the SQL-Server Edition",no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
PostgreSQL,"Widely used open source,RDBMS",Relational DBMS,"Document store,Spatial DBMS","Score,616.50,Rank,#4,Overall,#4,Relational DBMS",www.postgresql.org,www.postgresql.org/docs,PostgreSQL Global Development Group,1989.0,"15.2, February 2023",Open Source,BSD,no,"Aiven for PostgreSQL,: Fully managed and hosted PostgreSQL® with 70+ extensions and orchestration tooling included.,ScaleGrid for PostgreSQL,: Fully managed PostgreSQL DBaaS hosting On-Premises and on clouds such as AWS, Azure, GCP and DigitalOcean with no vendor lock-in. Leverage any extension and get SSH access.",C,"FreeBSD,HP-UX,Linux,NetBSD,OpenBSD,OS X,Solaris,Unix,Windows",yes,yes,yes,yes,yes,"ADO.NET,JDBC,native C library,ODBC,streaming API for large objects",".Net,C,C++,Delphi,Java,JavaScript (Node.js),Perl,PHP,Python,Tcl",user defined functions,yes,"partitioning by range, list and (since PostgreSQL 11) by hash",Source-replica replication,no,Immediate Consistency,yes,ACID,yes,yes,no,fine grained access rights according to SQL-standard
MongoDB,One of the most popular document stores available both as a fully managed cloud service and for deployment on self-managed infrastructure,Document store,"Spatial DBMS,Search engine,Time Series DBMS","Score,452.77,Rank,#5,Overall,#1,Document stores",www.mongodb.com,docs.mongodb.com/manual,"MongoDB, Inc",2009.0,"6.0.1, August 2022",Open Source,MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,no,"ScaleGrid for MongoDB Database,: Fully managed hosting for MongoDB Database on a wide variety of cloud providers and On-Premises. Automate your management, scaling and backups through one centralized platform.",C++,"Linux,OS X,Solaris,Windows",schema-free,yes,,yes,Read-only SQL queries via the MongoDB Connector for BI,proprietary protocol using JSON,"Actionscript,C,C#,C++,Clojure,ColdFusion,D,Dart,Delphi,Erlang,Go,Groovy,Haskell,Java,JavaScript,Lisp,Lua,MatLab,Perl,PHP,PowerShell,Prolog,Python,R,Ruby,Rust,Scala,Smalltalk,Swift",JavaScript,yes,Sharding,"Multi-Source deployments with MongoDB Atlas Global Clusters,Source-replica replication",yes,"Eventual Consistency,Immediate Consistency",no,Multi-document ACID Transactions with snapshot isolation,yes,yes,yes,Access rights for users and roles
Redis,"Popular in-memory data platform used as a cache, message broker, and database that can be deployed on-premises, across clouds, and hybrid environments",Key-value store,"Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS","Score,173.83,Rank,#6,Overall,#1,Key-value stores","redis.com,redis.io","docs.redis.com/latest/index.html,redis.io/documentation","Redis project core team, inspired by Salvatore Sanfilippo",2009.0,"7.0.8, January 2023",Open Source,"source-available extensions (modules), commercial licenses for Redis Enterprise",no,"Aiven for Redis,: Fully managed in-memory key-value store, for all your caching and speedy lookup needs.,Redis Enterprise Cloud,: Instantly scale and pay only for the resources you need - on any cloud - AWS, Azure or Google Cloud.,ScaleGrid Hosting for Redis,: Fully managed hosting for Redis on a wide variety of cloud providers and On-Premises. Get advanced monitoring and automate your management through one centralized platform.",C,"BSD,Linux,OS X,Windows",schema-free,partial,no,yes,no,proprietary protocol,"C,C#,C++,Clojure,Crystal,D,Dart,Elixir,Erlang,Fancy,Go,Haskell,Haxe,Java,JavaScript (Node.js),Lisp,Lua,MatLab,Objective-C,OCaml,Pascal,Perl,PHP,Prolog,Pure Data,Python,R,Rebol,Ruby,Rust,Scala,Scheme,Smalltalk,Swift,Tcl,Visual Basic","Lua; Redis Functions coming in Redis 7 (,slides,and,Github,)","publish/subscribe channels provide some trigger functionality;,RedisGears",Sharding,"Multi-source replication,Source-replica replication","through,RedisGears","Eventual Consistency,Causal consistency can be enabled in Active-Active databases,Strong consistency with,Redis Raft,Strong eventual consistency with Active-Active",no,Atomic execution of command blocks and scripts and optimistic locking,yes,yes,yes,"Access Control Lists (ACLs):,redis.io/topics/acl,LDAP,and,Role-Based Access Control,(RBAC) for Redis Enterprise,Mutual TLS authentication:,redis.io/topics/encryption,Password-based authentication"
IBM Db2,"Common in IBM host environments, 2 different versions for host and Windows/Linux",Relational DBMS,"Document store,RDF store,Spatial DBMS","Score,142.97,Rank,#7,Overall,#5,Relational DBMS",www.ibm.com/analytics/db2,www.ibm.com/support/knowledgecenter/SSEPGG,IBM,1983.0,"12.1, October 2016",commercial,free version is available,no,,C and C++,"AIX,HP-UX,Linux,Solaris,Windows,z/OS",yes,yes,,yes,yes,"ADO.NET,JDBC,JSON style queries,ODBC,XQuery","C,C#,C++,Cobol,Delphi,Fortran,Java,Perl,PHP,Python,Ruby,Visual Basic",yes,yes,Sharding,yes,no,,yes,ACID,yes,yes,,fine grained access rights according to SQL-standard
Elasticsearch,"A distributed, RESTful modern search and analytics engine based on,Apache Lucene",Search engine,"Document store,Spatial DBMS","Score,138.60,Rank,#8,Overall,#1,Search engines",www.elastic.co/elasticsearch,www.elastic.co/guide/en/elasticsearch/reference/current/index.html,Elastic,2010.0,"7.8.0, June 2020",Open Source,Elastic License,no,,Java,All OS with a Java VM,schema-free,yes,no,yes,SQL-like query language,"Java API,RESTful HTTP/JSON API",".Net,Groovy,Community Contributed Clients,Java,JavaScript,Perl,PHP,Python,Ruby",yes,yes,Sharding,yes,ES-Hadoop Connector,Eventual Consistency,no,no,yes,yes,"Memcached,and,Redis,integration",
SQLite,"Widely used embeddable, in-process,RDBMS",Relational DBMS,,"Score,132.67,Rank,#9,Overall,#6,Relational DBMS",www.sqlite.org,www.sqlite.org/docs.html,Dwayne Richard Hipp,2000.0,"3.41.0  (21 February 2023), February 2023",Open Source,Public Domain,no,,C,server-less,yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC","Actionscript,Ada,Basic,C,C#,C++,D,Delphi,Forth,Fortran,Haskell,Java,JavaScript,Lisp,Lua,MatLab,Objective-C,OCaml,Perl,PHP,PL/SQL,Python,R,Ruby,Scala,Scheme,Smalltalk,Tcl",no,yes,none,none,no,,yes,ACID,yes,yes,yes,no
Microsoft Access,Microsoft Access combines a backend RDBMS (JET / ACE Engine) with a GUI frontend for data manipulation and queries.,Relational DBMS,,"Score,131.03,Rank,#10,Overall,#7,Relational DBMS",www.microsoft.com/en-us/microsoft-365/access,developer.microsoft.com/en-us/access,Microsoft,1992.0,"1902 (16.0.11328.20222), March 2019",commercial,Bundled with Microsoft Office,no,,C++,Windows,yes,yes,,yes,yes,"ADO.NET,DAO,ODBC,OLE DB","C,C#,C++,Delphi,Java (JDBC-ODBC),VBA,Visual Basic.NET",yes,yes,none,none,no,,yes,ACID,yes,yes,,no
