DBMS,Rank_Mar-2024,Rank_Feb-2024,Rank_Mar-2023,Database Model,Score_Mar-2024,Score_Feb-2024,Score_Mar-2023,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Oracle,1.0,1.0,1.0,"Relational, Multi-model",1221.06,-20.39,-40.23,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS",Oracle,"Widely used,RDBMS",1980.0,"23c, September 2023",commercial,restricted free version is available,no
MySQL,2.0,2.0,2.0,"Relational, Multi-model",1101.5,-5.17,-81.29,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS",Oracle,"Widely used open source,RDBMS",1995.0,"8.3.0, January 2024",Open Source,GPL version 2. Commercial licenses with extended functionallity are available,no
Microsoft SQL Server,3.0,3.0,3.0,"Relational, Multi-model",845.81,-7.76,-76.20,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,Microsofts flagship relational DBMS,1989.0,"SQL Server 2022, November 2022",commercial,restricted free version is available,no
PostgreSQL,4.0,4.0,4.0,"Relational, Multi-model",634.91,+5.50,+21.08,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS",PostgreSQL Global Development Group,"Widely used open source,RDBMS",1989.0,"16.2, February 2024",Open Source,BSD,no
MongoDB,5.0,5.0,5.0,"Document, Multi-model",424.53,+4.18,-34.25,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS","MongoDB, Inc",One of the most popular document stores available both as a fully managed cloud service and for deployment on self-managed infrastructure,2009.0,"6.0.7, June 2023",Open Source,MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,no
Redis,6.0,6.0,6.0,"Key-value, Multi-model",157.0,-3.71,-15.45,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS","Redis project core team, inspired by Salvatore Sanfilippo","Popular in-memory data platform used as a cache, message broker, and database that can be deployed on-premises, across clouds, and hybrid environments",2009.0,"7.2.4, January 2024",Open Source,"source-available extensions (modules), commercial licenses for Redis Enterprise",no
Elasticsearch,7.0,7.0,8.0,"Search engine, Multi-model",134.79,-0.95,-4.28,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS,Vector DBMS",Elastic,"A distributed, RESTful modern search and analytics engine based on,Apache Lucene",2010.0,"8.6, January 2023",Open Source,Elastic License,no
IBM Db2,8.0,8.0,7.0,"Relational, Multi-model",127.75,-4.47,-15.17,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS",IBM,"Common in IBM host environments, 2 different versions for host and Windows/Linux",1983.0,"12.1, October 2016",commercial,free version is available,no
Snowflake,9.0,9.0,11.0,Relational,125.38,-2.07,+10.98,https://db-engines.com/en/system/Snowflake,,Snowflake Computing Inc.,Cloud-based data warehousing service for structured and semi-structured data,2014.0,,commercial,,yes
SQLite,10.0,10.0,9.0,Relational,118.16,+0.88,-15.66,https://db-engines.com/en/system/SQLite,,Dwayne Richard Hipp,"Widely used embeddable, in-process,RDBMS",2000.0,"3.45.2  (12 March 2024), March 2024",Open Source,Public Domain,no
